Report Number,URL,Congress,Accompanies,Title,Committee
H. Rept. 115-171,https://www.congress.gov/congressional-report/115th-congress/house-report/171/1,115th Congress (2017-2018),H.R. 627,STREAMLINING ENERGY EFFICIENCY FOR SCHOOLS ACT OF 2017,House Energy and Commerce
H. Rept. 115-170,https://www.congress.gov/congressional-report/115th-congress/house-report/170/1,115th Congress (2017-2018),H.R. 447,TO EXTEND THE DEADLINE FOR COMMENCEMENT OF CONSTRUCTION OF A HYDROELECTRIC PROJECT,House Energy and Commerce
H. Rept. 115-169,https://www.congress.gov/congressional-report/115th-congress/house-report/169/1,115th Congress (2017-2018),H.R. 446,TO EXTEND THE DEADLINE FOR COMMENCEMENT OF CONSTRUCTION OF A HYDROELECTRIC PROJECT,House Energy and Commerce
H. Rept. 115-168,https://www.congress.gov/congressional-report/115th-congress/house-report/168/1,115th Congress (2017-2018),H.R. 338,TO PROMOTE A 21ST CENTURY ENERGY AND MANUFACTURING WORKFORCE,House Energy and Commerce
H. Rept. 115-167,https://www.congress.gov/congressional-report/115th-congress/house-report/167/1,115th Congress (2017-2018),H.R. 1109,TO AMEND SECTION 203 OF THE FEDERAL POWER ACT,House Energy and Commerce
H. Rept. 115-166,https://www.congress.gov/congressional-report/115th-congress/house-report/166/1,115th Congress (2017-2018),H.R. 1654,WATER SUPPLY PERMITTING COORDINATION ACT,House Natural Resources
H. Rept. 115-165,https://www.congress.gov/congressional-report/115th-congress/house-report/165/1,115th Congress (2017-2018),H.R. 1873,ELECTRICITY RELIABILITY AND FOREST PROTECTION ACT,House Natural Resources
H. Rept. 115-164,https://www.congress.gov/congressional-report/115th-congress/house-report/164/1,115th Congress (2017-2018),H.R. 2353,STRENGTHENING CAREER AND TECHNICAL EDUCATION FOR THE 21ST CENTURY ACT,House Education and the Workforce
H. Rept. 115-163,https://www.congress.gov/congressional-report/115th-congress/house-report/163/1,115th Congress (2017-2018),H.Res. 375,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 10) TO CREATE HOPE AND OPPORTUNITY FOR INVESTORS, CONSUMERS, AND ENTREPRENEURS BY ENDING BAILOUTS AND TOO BIG TO FAIL, HOLDING WASHINGTON AND WALL STREET ACCOUNTABLE, ELIMINATING RED TAPE TO INCREASE ACCESS TO CAPITAL AND CREDIT, AND REPEALING THE PROVISIONS OF THE DODD-FRANK ACT THAT MAKE AMERICA LESS PROSPEROUS, LESS STABLE, AND LESS FREE, AND FOR OTHER PURPOSES",House Rules
H. Rept. 115-162,https://www.congress.gov/congressional-report/115th-congress/house-report/162/1,115th Congress (2017-2018),H.Res. 374,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 2213) TO AMEND THE ANTI- BORDER CORRUPTION ACT OF 2010 TO AUTHORIZE CERTAIN POLYGRAPH WAIVER AUTHORITY, AND FOR OTHER PURPOSES",House Rules
H. Rept. 115-161,https://www.congress.gov/congressional-report/115th-congress/house-report/161/1,115th Congress (2017-2018),H.R. 2581,VERIFY FIRST ACT,House Ways and Means
H. Rept. 115-160,https://www.congress.gov/congressional-report/115th-congress/house-report/160/1,115th Congress (2017-2018),H.R. 2579,BROADER OPTIONS FOR AMERICANS ACT,House Ways and Means
H. Rept. 115-159,https://www.congress.gov/congressional-report/115th-congress/house-report/159/1,115th Congress (2017-2018),H.R. 2372,VETERAN ACT,House Ways and Means
H. Rept. 115-158,https://www.congress.gov/congressional-report/115th-congress/house-report/158/1,115th Congress (2017-2018),H.R. 1967,BUREAU OF RECLAMATION PUMPED STORAGE HYDROPOWER DEVELOPMENT ACT,House Natural Resources
H. Rept. 115-157,https://www.congress.gov/congressional-report/115th-congress/house-report/157/1,115th Congress (2017-2018),H.R. 1135,TO REAUTHORIZE THE HISTORICALLY BLACK COLLEGES AND UNIVERSITIES HISTORIC PRESERVATION PROGRAM,House Natural Resources
H. Rept. 115-156,https://www.congress.gov/congressional-report/115th-congress/house-report/156/1,115th Congress (2017-2018),H.R. 660,BUREAU OF RECLAMATION TRANSPARENCY ACT,House Natural Resources
H. Rept. 115-155,https://www.congress.gov/congressional-report/115th-congress/house-report/155/1,115th Congress (2017-2018),H.R. 497,SANTA ANA RIVER WASH PLAN LAND EXCHANGE ACT,House Natural Resources
H. Rept. 115-154,https://www.congress.gov/congressional-report/115th-congress/house-report/154/1,115th Congress (2017-2018),H.R. 220,"TO AUTHORIZE THE EXPANSION OF AN EXISTING HYDROELECTRIC PROJECT, AND FOR OTHER PURPOSES",House Natural Resources
"H. Rept. 115-153,Part 2",https://www.congress.gov/congressional-report/115th-congress/house-report/153/3,115th Congress (2017-2018),H.R. 10,FINANCIAL CHOICE ACT OF 2017,House Financial Services
"H. Rept. 115-153,Part 1",https://www.congress.gov/congressional-report/115th-congress/house-report/153/2,115th Congress (2017-2018),H.R. 10,FINANCIAL CHOICE ACT OF 2017,House Financial Services
"H. Rept. 115-153,Part 1",https://www.congress.gov/congressional-report/115th-congress/house-report/153/1,115th Congress (2017-2018),H.R. 10,FINANCIAL CHOICE ACT OF 2017,House Financial Services
H. Rept. 115-152,https://www.congress.gov/congressional-report/115th-congress/house-report/152/1,115th Congress (2017-2018),H.Res. 352,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1973) TO PREVENT THE SEXUAL ABUSE OF MINORS AND AMATEUR ATHLETES BY REQUIRING THE PROMPT REPORTING OF SEXUAL ABUSE TO LAW ENFORCEMENT AUTHORITIES, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1761) TO AMEND TITLE 18, UNITED STATES CODE, TO CRIMINALIZE THE KNOWING CONSENT OF THE VISUAL DEPICTION, OR LIVE TRANSMISSION, OF A MINOR ENGAGED IN SEXUALLY EXPLICIT CONDUCT, AND FOR OTHER PURPOSES; AND PROVIDING FOR PROCEEDINGS DURING THE PERIOD FROM MAY 26, 2017, THROUGH JUNE 5, 2017",House Rules
H. Rept. 115-151,https://www.congress.gov/congressional-report/115th-congress/house-report/151/1,115th Congress (2017-2018),H.R. 1848,VETERANS AFFAIRS MEDICAL SCRIBE PILOT ACT OF 2017,House Veterans' Affairs
H. Rept. 115-150,https://www.congress.gov/congressional-report/115th-congress/house-report/150/1,115th Congress (2017-2018),H.R. 624,SOCIAL SECURITY FRAUD PREVENTION ACT OF 2017,House Oversight and Government Reform
H. Rept. 115-149,https://www.congress.gov/congressional-report/115th-congress/house-report/149/1,115th Congress (2017-2018),H.R. 467,VA SCHEDULING ACCOUNTABILITY ACT,House Veterans' Affairs
H. Rept. 115-148,https://www.congress.gov/congressional-report/115th-congress/house-report/148/1,115th Congress (2017-2018),H.R. 1005,"TO AMEND TITLE 38, UNITED STATES CODE, TO IMPROVE THE PROVISION OF ADULT DAY HEALTH CARE SERVICES FOR VETERANS",House Veterans' Affairs
H. Rept. 115-147,https://www.congress.gov/congressional-report/115th-congress/house-report/147/1,115th Congress (2017-2018),H.R. 1162,NO HERO LEFT UNTREATED ACT,House Veterans' Affairs
H. Rept. 115-146,https://www.congress.gov/congressional-report/115th-congress/house-report/146/1,115th Congress (2017-2018),H.R. 1461,VET PROTECTION ACT OF 2017,House Veterans' Affairs
H. Rept. 115-145,https://www.congress.gov/congressional-report/115th-congress/house-report/145/1,115th Congress (2017-2018),H.Res. 348,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 953) TO AMEND THE FEDERAL INSECTICIDE, FUNGICIDE, AND RODENTICIDE ACT AND THE FEDERAL WATER POLLUTION CONTROL ACT TO CLARIFY CONGRESSIONAL INTENT REGARDING THE REGULATION OF THE USE OF PESTICIDES IN OR NEAR NAVIGABLE WATERS, AND FOR OTHER PURPOSES",House Rules
H. Rept. 115-144,https://www.congress.gov/congressional-report/115th-congress/house-report/144/1,115th Congress (2017-2018),H.R. 1545,VA PRESCRIPTION DATA ACCOUNTABILITY ACT 2017,House Veterans' Affairs
H. Rept. 115-143,https://www.congress.gov/congressional-report/115th-congress/house-report/143/1,115th Congress (2017-2018),H.R. 1370,DEPARTMENT OF HOMELAND SECURITY BLUE CAMPAIGN AUTHORIZATION ACT OF 2017,House Homeland Security
H. Rept. 115-142,https://www.congress.gov/congressional-report/115th-congress/house-report/142/1,115th Congress (2017-2018),H.R. 1188,ADAM WALSH REAUTHORIZATION ACT OF 2017,House Judiciary
H. Rept. 115-141,https://www.congress.gov/congressional-report/115th-congress/house-report/141/1,115th Congress (2017-2018),H.R. 883,TARGETING CHILD PREDATORS ACT OF 2017,House Judiciary
H. Rept. 115-140,https://www.congress.gov/congressional-report/115th-congress/house-report/140/1,115th Congress (2017-2018),H.R. 1842,STRENGTHENING CHILDREN'S SAFETY ACT OF 2017,House Judiciary
H. Rept. 115-139,https://www.congress.gov/congressional-report/115th-congress/house-report/139/1,115th Congress (2017-2018),H.R. 1862,GLOBAL CHILD PROTECTION ACT OF 2017,House Judiciary
H. Rept. 115-138,https://www.congress.gov/congressional-report/115th-congress/house-report/138/1,115th Congress (2017-2018),H.R. 695,CHILD PROTECTION IMPROVEMENTS ACT OF 2017,House Judiciary
H. Rept. 115-137,https://www.congress.gov/congressional-report/115th-congress/house-report/137/1,115th Congress (2017-2018),H.R. 1761,PROTECTING AGAINST CHILD EXPLOITATION ACT OF 2017,House Judiciary
H. Rept. 115-136,https://www.congress.gov/congressional-report/115th-congress/house-report/136/1,115th Congress (2017-2018),H.R. 1973,PROTECTING YOUNG VICTIMS FROM SEXUAL ABUSE ACT OF 2017,House Judiciary
H. Rept. 115-135,https://www.congress.gov/congressional-report/115th-congress/house-report/135/1,115th Congress (2017-2018),H.R. 2288,VETERANS APPEALS IMPROVEMENT AND MODERNIZATION ACT OF 2017,House Veterans' Affairs
H. Rept. 115-134,https://www.congress.gov/congressional-report/115th-congress/house-report/134/1,115th Congress (2017-2018),H.R. 1329,VETERANS' COMPENSATION COST-OF-LIVING ADJUSTMENT ACT OF 2017,House Veterans' Affairs
H. Rept. 115-133,https://www.congress.gov/congressional-report/115th-congress/house-report/133/1,115th Congress (2017-2018),H.R. 1725,"TO AMEND TITLE 38, UNITED STATES CODE, TO IMPROVE THE TREATMENT OF MEDICAL EVIDENCE PROVIDED BY NON-DEPARTMENT OF VETERANS AFFAIRS MEDICAL PROFESSIONALS IN SUPPORT OF CLAIMS FOR DISABILITY COMPENSATION UNDER THE LAWS ADMINISTERED BY THE SECRETARY OF VETERANS AFFAIRS, AND FOR OTHER PURPOSES",House Veterans' Affairs
H. Rept. 115-132,https://www.congress.gov/congressional-report/115th-congress/house-report/132/1,115th Congress (2017-2018),H.R. 1726,COAST GUARD IMPROVEMENT AND REFORM ACT OF 2017,House Transportation and Infrastructure
H. Rept. 115-131,https://www.congress.gov/congressional-report/115th-congress/house-report/131/1,115th Congress (2017-2018),H.R. 953,REDUCING REGULATORY BURDENS ACT OF 2017,House Agriculture
H. Rept. 115-130,https://www.congress.gov/congressional-report/115th-congress/house-report/130/1,115th Congress (2017-2018),H.R. 2266,BANKRUPTCY JUDGESHIP ACT OF 2017,House Judiciary
H. Rept. 115-129,https://www.congress.gov/congressional-report/115th-congress/house-report/129/1,115th Congress (2017-2018),H.R. 2227,MODERNIZING GOVERNMENT TECHNOLOGY ACT OF 2017,House Oversight and Government Reform
H. Rept. 115-128,https://www.congress.gov/congressional-report/115th-congress/house-report/128/1,115th Congress (2017-2018),H.R. 195,FEDERAL REGISTER PRINTING SAVINGS ACT OF 2017,House Oversight and Government Reform
H. Rept. 115-127,https://www.congress.gov/congressional-report/115th-congress/house-report/127/1,115th Congress (2017-2018),H.Res. 324,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1039) TO AMEND SECTION 3606 OF TITLE 18, UNITED STATES CODE, TO GRANT PROBATION OFFICERS AUTHORITY TO ARREST HOSTILE THIRD PARTIES WHO OBSTRUCT OR IMPEDE A PROBATION OFFICER IN THE PERFORMANCE OF OFFICIAL DUTIES",House Rules
H. Rept. 115-126,https://www.congress.gov/congressional-report/115th-congress/house-report/126/1,115th Congress (2017-2018),H.Res. 323,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 115) TO AMEND TITLE 18, UNITED STATES CODE, TO PROVIDE ADDITIONAL AGGRAVATING FACTORS FOR THE IMPOSITION OF THE DEATH PENALTY BASED ON THE STATUS OF THE VICTIM",House Rules
H. Rept. 115-125,https://www.congress.gov/congressional-report/115th-congress/house-report/125/1,115th Congress (2017-2018),H.R. 2154,EDWARD T. SCHAFER AGRICULTURAL RESEARCH CENTER,House Agriculture
H. Rept. 115-124,https://www.congress.gov/congressional-report/115th-congress/house-report/124/1,115th Congress (2017-2018),H.R. 1177,REMOVING OUTDATED RESTRICTIONS TO ALLOW FOR JOB GROWTH ACT,House Agriculture
H. Rept. 115-123,https://www.congress.gov/congressional-report/115th-congress/house-report/123/1,115th Congress (2017-2018),H.R. 1715,MEDGAR EVERS HOUSE STUDY ACT,House Natural Resources
H. Rept. 115-122,https://www.congress.gov/congressional-report/115th-congress/house-report/122/1,115th Congress (2017-2018),H.R. 2281,BORDER ENFORCEMENT SECURITY TASK FORCE REAUTHORIZATION ACT OF 2017,House Homeland Security
H. Rept. 115-121,https://www.congress.gov/congressional-report/115th-congress/house-report/121/1,115th Congress (2017-2018),H.R. 2213,ANTI-BORDER CORRUPTION REAUTHORIZATION ACT OF 2017,House Homeland Security
H. Rept. 115-120,https://www.congress.gov/congressional-report/115th-congress/house-report/120/1,115th Congress (2017-2018),H.R. 2169,IMPROVING FUSION CENTERS' ACCESS TO INFORMATION ACT,House Homeland Security
H. Rept. 115-119,https://www.congress.gov/congressional-report/115th-congress/house-report/119/1,115th Congress (2017-2018),H.R. 1892,HONORING HOMETOWN HEROES ACT,House Judiciary
H. Rept. 115-118,https://www.congress.gov/congressional-report/115th-congress/house-report/118/1,115th Congress (2017-2018),H.R. 1293,"AMENDING TITLE 5, UNITED STATES CODE, TO REQUIRE THAT THE OFFICE OF PERSONNEL MANAGEMENT SUBMIT AN ANNUAL REPORT TO CONGRESS RELATING TO THE USE OF OFFICIAL TIME BY FEDERAL EMPLOYEES",House Oversight and Government Reform
H. Rept. 115-117,https://www.congress.gov/congressional-report/115th-congress/house-report/117/1,115th Congress (2017-2018),H.R. 510,RAPID DNA ACT OF 2017,House Judiciary
H. Rept. 115-116,https://www.congress.gov/congressional-report/115th-congress/house-report/116/1,115th Congress (2017-2018),H.R. 115,THIN BLUE LINE ACT,House Judiciary
H. Rept. 115-115,https://www.congress.gov/congressional-report/115th-congress/house-report/115/1,115th Congress (2017-2018),H.R. 1677,CAESAR SYRIA CIVILIAN PROTECTION ACT OF 2017,House Foreign Affairs
H. Rept. 115-114,https://www.congress.gov/congressional-report/115th-congress/house-report/114/1,115th Congress (2017-2018),H.R. 1500,ROBERT EMMET PARK ACT OF 2017,House Natural Resources
H. Rept. 115-113,https://www.congress.gov/congressional-report/115th-congress/house-report/113/1,115th Congress (2017-2018),H.R. 1073,"TO AUTHORIZE THE SECRETARY OF THE INTERIOR TO ESTABLISH A STRUCTURE FOR VISITOR SERVICES ON THE ARLINGTON RIDGE TRACT, IN THE AREA OF THE U.S. MARINE CORPS WAR MEMORIAL, AND FOR OTHER PURPOSES",House Natural Resources
H. Rept. 115-112,https://www.congress.gov/congressional-report/115th-congress/house-report/112/1,115th Congress (2017-2018),H.R. 1039,PROBATION OFFICER PROTECTION ACT OF 2017,House Judiciary
H. Rept. 115-111,https://www.congress.gov/congressional-report/115th-congress/house-report/111/1,115th Congress (2017-2018),H.R. 1809,JUVENILE JUSTICE REFORM ACT OF 2017,House Education and the Workforce
H. Rept. 115-110,https://www.congress.gov/congressional-report/115th-congress/house-report/110/1,115th Congress (2017-2018),H.R. 1808,IMPROVING SUPPORT FOR MISSING AND EXPLOITED CHILDREN ACT OF 2017,House Education and the Workforce
H. Rept. 115-109,https://www.congress.gov/congressional-report/115th-congress/house-report/109/1,115th Congress (2017-2018),H.Res. 308,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 2192) TO AMEND THE PUBLIC HEALTH SERVICE ACT TO ELIMINATE THE NON-APPLICATION OF CERTAIN STATE WAIVER PROVISIONS TO MEMBERS OF CONGRESS AND CONGRESSIONAL STAFF, AND PROVIDING FOR FURTHER CONSIDERATION OF THE BILL (H.R. 1628) TO PROVIDE FOR RECONCILIATION PURSUANT TO TITLE II OF THE CONCURRENT RESOLUTION ON THE BUDGET FOR FISCAL YEAR 2017",House Rules
H. Rept. 115-108,https://www.congress.gov/congressional-report/115th-congress/house-report/108/1,115th Congress (2017-2018),H.Res. 305,"PROVIDING FOR CONSIDERATION OF THE SENATE AMENDMENTS TO THE BILL (H.R. 244) TO ENCOURAGE EFFECTIVE, VOLUNTARY INVESTMENTS TO RECRUIT, EMPLOY, AND RETAIN MEN AND WOMEN WHO HAVE SERVED IN THE UNITED STATES MILITARY WITH ANNUAL FEDERAL AWARDS TO EMPLOYERS RECOGNIZING SUCH EFFORTS, AND FOR OTHER PURPOSES",House Rules
H. Rept. 115-107,https://www.congress.gov/congressional-report/115th-congress/house-report/107/1,115th Congress (2017-2018),H.R. 1679,"FEMA ACCOUNTABILITY, MODERNIZATION AND TRANSPARENCY ACT OF 2017",House Transportation and Infrastructure
H. Rept. 115-106,https://www.congress.gov/congressional-report/115th-congress/house-report/106/1,115th Congress (2017-2018),H.Res. 299,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1180) TO AMEND THE FAIR LABOR STANDARDS ACT OF 1938 TO PROVIDE COMPENSATORY TIME FOR EMPLOYEES IN THE PRIVATE SECTOR; PROVIDING FOR PROCEEDINGS DURING THE PERIOD FROM MAY 5, 2017, THROUGH MAY 15, 2017; AND FOR OTHER PURPOSES",House Rules
H. Rept. 115-105,https://www.congress.gov/congressional-report/115th-congress/house-report/105/1,115th Congress (2017-2018),H.R. 1242,400 YEARS OF AFRICAN-AMERICAN HISTORY COMMISSION ACT,House Oversight and Government Reform
H. Rept. 115-104,https://www.congress.gov/congressional-report/115th-congress/house-report/104/1,115th Congress (2017-2018),H.R. 1312,SMALL BUSINESS CAPITAL FORMATION ENHANCEMENT ACT,House Financial Services
H. Rept. 115-103,https://www.congress.gov/congressional-report/115th-congress/house-report/103/1,115th Congress (2017-2018),H.R. 1366,U.S. TERRITORIES INVESTOR PROTECTION ACT OF 2017,House Financial Services
H. Rept. 115-102,https://www.congress.gov/congressional-report/115th-congress/house-report/102/1,115th Congress (2017-2018),H.R. 910,FAIR ACCESS TO INVESTMENT RESEARCH ACT OF 2017,House Financial Services
H. Rept. 115-101,https://www.congress.gov/congressional-report/115th-congress/house-report/101/1,115th Congress (2017-2018),H.R. 1180,WORKING FAMILIES FLEXIBILITY ACT OF 2017,House Education and the Workforce
H. Rept. 115-100,https://www.congress.gov/congressional-report/115th-congress/house-report/100/1,115th Congress (2017-2018),H.R. 1678,"AMENDING THE ROBERT T. STAFFORD DISASTER RELIEF AND EMERGENCY ASSISTANCE ACT CONCERNING THE STATUTE OF LIMITATIONS FOR ACTIONS TO RECOVER DISASTER OR EMERGENCY ASSISTANCE PAYMENTS, AND FOR OTHER PURPOSES",House Transportation and Infrastructure
H. Rept. 115-99,https://www.congress.gov/congressional-report/115th-congress/house-report/99/1,115th Congress (2017-2018),H.R. 1665,DISASTER DECLARATION IMPROVEMENT ACT,House Transportation and Infrastructure
H. Rept. 115-98,https://www.congress.gov/congressional-report/115th-congress/house-report/98/1,115th Congress (2017-2018),H.R. 1644,KOREAN INTERDICTION AND MODERNIZATION OF SANCTIONS ACT,House Foreign Affairs
H. Rept. 115-97,https://www.congress.gov/congressional-report/115th-congress/house-report/97/1,115th Congress (2017-2018),H.Res. 289,"PROVIDING FOR CONSIDERATION OF THE JOINT RESOLUTION (H.J. RES. 99) MAKING FURTHER CONTINUING APPROPRIATIONS FOR FISCAL YEAR 2017, AND FOR OTHER PURPOSES",House Rules
H. Rept. 115-96,https://www.congress.gov/congressional-report/115th-congress/house-report/96/1,115th Congress (2017-2018),H.Res. 280,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1694) TO REQUIRE ADDITIONAL ENTITIES TO BE SUBJECT TO THE REQUIREMENTS OF SECTION 552 OF TITLE 5, UNITED STATES CODE (COMMONLY REFERRED TO AS THE FREEDOM OF INFORMATION ACT), AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES; AND WAIVING A REQUIREMENT OF CLAUSE 6(A) OF RULE XIII WITH RESPECT TO CONSIDERATION OF CERTAIN RESOLUTIONS REPORTED FROM THE COMMITTEE ON RULES",House Rules
H. Rept. 115-95,https://www.congress.gov/congressional-report/115th-congress/house-report/95/1,115th Congress (2017-2018),H.Res. 275,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1695) TO AMEND TITLE 17, UNITED STATES CODE, TO PROVIDE ADDITIONAL RESPONSIBILITIES FOR THE REGISTER OF COPYRIGHTS, AND FOR OTHER PURPOSES",House Rules
H. Rept. 115-94,https://www.congress.gov/congressional-report/115th-congress/house-report/94/1,115th Congress (2017-2018),H.R. 876,AVIATION EMPLOYEE SCREENING AND SECURITY ENHANCEMENT ACT OF 2017,House Homeland Security
H. Rept. 115-93,https://www.congress.gov/congressional-report/115th-congress/house-report/93/1,115th Congress (2017-2018),H.R. 1694,FANNIE AND FREDDIE OPEN RECORDS ACT OF 2017,House Oversight and Government Reform
H. Rept. 115-92,https://www.congress.gov/congressional-report/115th-congress/house-report/92/1,115th Congress (2017-2018),H.R. 1372,HOMELAND SECURITY FOR CHILDREN ACT,House Homeland Security
H. Rept. 115-91,https://www.congress.gov/congressional-report/115th-congress/house-report/91/1,115th Congress (2017-2018),H.R. 1695,REGISTER OF COPYRIGHTS SELECTION AND ACCOUNTABILITY ACT OF 2017,House Judiciary
H. Rept. 115-90,https://www.congress.gov/congressional-report/115th-congress/house-report/90/1,115th Congress (2017-2018),H.R. 1258,HSA TECHNICAL CORRECTIONS ACT,House Homeland Security
H. Rept. 115-89,https://www.congress.gov/congressional-report/115th-congress/house-report/89/1,115th Congress (2017-2018),H.Res. 235,"DIRECTING THE SECRETARY OF HOMELAND SECURITY TO TRANSMIT CERTAIN DOCUMENTS TO THE HOUSE OF REPRESENTATIVES RELATING TO THE DEPARTMENT OF HOMELAND SECURITY'S RESEARCH, INTEGRATION, AND ANALYSIS ACTIVITIES RELATING TO RUSSIAN GOVERNMENT INTERFERENCE IN THE ELECTIONS FOR FEDERAL OFFICE HELD 2016",House Homeland Security
H. Rept. 115-88,https://www.congress.gov/congressional-report/115th-congress/house-report/88/1,115th Congress (2017-2018),H.Res. 254,PROVIDING FOR FURTHER CONSIDERATION OF THE BILL (H.R. 1628) TO PROVIDE FOR RECONCILIATION PURSUANT TO TITLE II OF THE CONCURRENT RESOLUTION ON THE BUDGET FOR FISCAL YEAR 2017,House Rules
H. Rept. 115-87,https://www.congress.gov/congressional-report/115th-congress/house-report/87/1,115th Congress (2017-2018),H.Con.Res. 35,AUTHORIZING THE USE OF THE CAPITOL GROUNDS FOR THE NATIONAL PEACE OFFICERS MEMORIAL SERVICE AND THE NATIONAL HONOR GUARD AND PIPE BAND EXHIBITION,House Transportation and Infrastructure
H. Rept. 115-86,https://www.congress.gov/congressional-report/115th-congress/house-report/86/1,115th Congress (2017-2018),H.Con.Res. 36,AUTHORIZING THE USE OF THE CAPITOL GROUNDS FOR THE GREATER WASHINGTON SOAP BOX DERBY,House Transportation and Infrastructure
H. Rept. 115-85,https://www.congress.gov/congressional-report/115th-congress/house-report/85/1,115th Congress (2017-2018),H.R. 1346,TO REPEAL THE RULE ISSUED BY THE FEDERAL HIGHWAY ADMINISTRATION AND THE FEDERAL TRANSIT ADMINISTRATION ENTITLED ``METROPOLITAN PLANNING ORGANIZATION COORDINATION AND PLANNING AREA REFORM'',House Transportation and Infrastructure
H. Rept. 115-84,https://www.congress.gov/congressional-report/115th-congress/house-report/84/1,115th Congress (2017-2018),H.R. 455,R. JESS BROWN UNITED STATES COURTHOUSE,House Transportation and Infrastructure
H. Rept. 115-83,https://www.congress.gov/congressional-report/115th-congress/house-report/83/1,115th Congress (2017-2018),H.Res. 203,"RESOLUTION OF INQUIRY REQUESTING THE PRESIDENT, AND DIRECTING THE ATTORNEY GENERAL, TO TRANSMIT, RESPECTIVELY, CERTAIN DOCUMENTS TO THE HOUSE OF REPRESENTATIVES RELATING TO CERTAIN COMMUNICATIONS BY THE PRESIDENT OF THE UNITED STATES",House Judiciary
H. Rept. 115-82,https://www.congress.gov/congressional-report/115th-congress/house-report/82/1,115th Congress (2017-2018),H.R. 1003,DISTRICT OF COLUMBIA COURTS AND PUBLIC DEFENDER SERVICE VOLUNTARY SEPARATION INCENTIVE PAYMENTS ACT,House Oversight and Government Reform
H. Rept. 115-81,https://www.congress.gov/congressional-report/115th-congress/house-report/81/1,115th Congress (2017-2018),H.R. 680,ELIMINATING PORNOGRAPHY FROM AGENCIES ACT,House Oversight and Government Reform
H. Rept. 115-80,https://www.congress.gov/congressional-report/115th-congress/house-report/80/1,115th Congress (2017-2018),H.R. 1667,FINANCIAL INSTITUTION BANKRUPTCY ACT OF 2017,House Judiciary
H. Rept. 115-79,https://www.congress.gov/congressional-report/115th-congress/house-report/79/1,115th Congress (2017-2018),H.R. 702,FEDERAL EMPLOYEE ANTIDISCRIMINATION ACT OF 2017,House Oversight and Government Reform
H. Rept. 115-78,https://www.congress.gov/congressional-report/115th-congress/house-report/78/1,115th Congress (2017-2018),H.R. 653,FEDERAL INTERN PROTECTION ACT OF 2017,House Oversight and Government Reform
H. Rept. 115-77,https://www.congress.gov/congressional-report/115th-congress/house-report/77/1,115th Congress (2017-2018),H.Res. 242,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1219) TO AMEND THE INVESTMENT COMPANY ACT OF 1940 TO EXPAND THE INVESTOR LIMITATION FOR QUALIFYING VENTURE CAPITAL FUNDS UNDER AN EXEMPTION FROM THE DEFINITION OF AN INVESTMENT COMPANY, AND PROVIDING FOR PROCEEDINGS DURING THE PERIOD FROM APRIL 7, 2017, THROUGH APRIL 24, 2017",House Rules
H. Rept. 115-76,https://www.congress.gov/congressional-report/115th-congress/house-report/76/1,115th Congress (2017-2018),H.Res. 241,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1304) TO AMEND THE EMPLOYEE RETIREMENT INCOME SECURITY ACT OF 1974, THE PUBLIC HEALTH SERVICE ACT, AND THE INTERNAL REVENUE CODE OF 1986 TO EXCLUDE FROM THE DEFINITION OF HEALTH INSURANCE COVERAGE CERTAIN MEDICAL STOP-LOSS INSURANCE OBTAINED BY CERTAIN PLAN SPONSORS OF GROUP HEALTH PLANS",House Rules
H. Rept. 115-75,https://www.congress.gov/congressional-report/115th-congress/house-report/75/1,115th Congress (2017-2018),H.Res. 240,PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1343) TO DIRECT THE SECURITIES AND EXCHANGE COMMISSION TO REVISE ITS RULES SO AS TO INCREASE THE THRESHOLD AMOUNT FOR REQUIRING ISSUERS TO PROVIDE CERTAIN DISCLOSURES RELATING TO COMPENSATORY BENEFIT PLANS,House Rules
H. Rept. 115-74,https://www.congress.gov/congressional-report/115th-congress/house-report/74/1,115th Congress (2017-2018),H.Res. 184,"RESOLUTION OF INQUIRY REQUESTING THE PRESIDENT AND DIRECTING THE ATTORNEY GENERAL TO TRANSMIT, RESPECTIVELY, CERTAIN DOCUMENTS TO THE HOUSE OF REPRESENTATIVES RELATING TO COMMUNICATIONS WITH THE GOVERNMENT OF RUSSIA",House Judiciary
